dataset,method,trustworthiness,continuity,score,silhouette_avg,silhouette_worst_10
iris,Isomap × MDS,0.9379993148338472,1.0100308324768756,0.9740150736553614,0.5460941204137707,"[106, 119, 133, 77, 123, 127, 138, 126, 52, 146]"
mnist64,t-SNE,0.9930478444737137,1.0006680339891363,0.996857939231425,0.6267917156219482,"[5, 1002, 971, 982, 502, 558, 552, 546, 595, 268]"
mnist64,UMAP,0.9892455018142371,1.0010520704746941,0.9951487861444657,0.7353489995002747,"[5, 539, 584, 603, 378, 569, 600, 313, 572, 370]"
mnist64,Isomap,0.9577327302939201,1.0019566049845745,0.9798446676392474,0.5411482573156455,"[502, 552, 546, 595, 558, 608, 346, 319, 336, 576]"
mnist64,MDS,0.9131238347242813,1.0022808395694658,0.9577023371468736,0.2729373508909421,"[808, 905, 135, 247, 775, 91, 787, 79, 913, 876]"
mnist64,t-SNE × UMAP,0.9892092023066307,1.0010733579825448,0.9951412801445878,0.55391925573349,"[971, 982, 1002, 5, 354, 339, 368, 558, 546, 502]"
mnist64,t-SNE × Isomap,0.9681557339932707,1.0018452454781888,0.9850004897357297,0.45576481188991025,"[365, 354, 319, 576, 339, 325, 598, 268, 592, 608]"
mnist64,t-SNE × MDS,0.9638288326865868,1.0018454915765453,0.9828371621315661,0.2717463699483378,"[368, 365, 600, 325, 268, 608, 572, 598, 336, 354]"
mnist64,UMAP × Isomap,0.9422729545781185,1.002190152325039,0.9722315534515787,0.3063430397996832,"[1042, 967, 968, 365, 339, 598, 354, 592, 1030, 721]"
mnist64,UMAP × MDS,0.9357850636016594,1.0022257135375754,0.9690053885696174,0.15289288371966644,"[284, 424, 475, 1039, 775, 287, 27, 397, 749, 671]"
mnist64,Isomap × MDS,0.8996210331405892,1.0022547531436603,0.9509378931421247,0.26761031325517937,"[5, 558, 608, 336, 346, 268, 598, 572, 325, 365]"
olive,t-SNE,0.9961317648483424,1.000831610457279,0.9984816876528106,0.3860342800617218,"[11, 23, 0, 18, 21, 9, 10, 4, 270, 5]"
olive,UMAP,0.9936676514216621,1.0013177553284505,0.9974927033750562,0.39935198426246643,"[23, 11, 0, 21, 4, 24, 262, 18, 5, 270]"
olive,Isomap,0.9932006496177619,1.0016307222189575,0.9974156859183597,0.293817224732881,"[11, 9, 0, 23, 3, 21, 10, 4, 24, 8]"
olive,MDS,0.995220910996312,1.0013377887709438,0.998279349883628,0.23584206103941077,"[11, 0, 23, 9, 4, 24, 21, 10, 8, 3]"
olive,t-SNE × UMAP,0.9914595208712855,1.00131285826473,0.9963861895680077,0.21044164896011353,"[262, 266, 23, 11, 0, 18, 270, 5, 3, 6]"
olive,t-SNE × Isomap,0.9447842709874795,1.0033527078981623,0.9740684894428209,0.11277181915978576,"[19, 265, 16, 23, 14, 11, 21, 271, 0, 262]"
olive,t-SNE × MDS,0.9390689524379364,1.0034217119778617,0.9712453322078991,0.014626747528797108,"[522, 210, 261, 30, 17, 66, 48, 52, 120, 63]"
olive,UMAP × Isomap,0.9334115082778185,1.003431951292914,0.9684217297853662,0.10630436813911419,"[23, 11, 21, 265, 19, 16, 0, 14, 262, 271]"
olive,UMAP × MDS,0.9139590356167896,1.0037556026860839,0.9588573191514367,0.011910568582413896,"[522, 66, 210, 30, 261, 52, 48, 17, 120, 63]"
olive,Isomap × MDS,0.9338402239471758,1.0033852065937627,0.9686127152704693,0.060773202188685566,"[522, 271, 14, 265, 19, 0, 286, 21, 4, 23]"
weather,t-SNE,0.998294686149685,1.0006519994282637,0.9994733427889744,0.8904999494552612,"[292, 317, 326, 231, 230, 270, 293, 235, 233, 294]"
weather,UMAP,0.9952765774977735,1.0016118569339534,0.9984442172158634,0.7995893955230713,"[165, 158, 157, 164, 141, 146, 151, 140, 142, 172]"
weather,Isomap,0.9460159866301635,1.0036129344372244,0.9748144605336939,0.3597264695924126,"[128, 90, 89, 131, 129, 127, 132, 142, 50, 134]"
weather,MDS,0.9793482204703632,1.0034029312486943,0.9913755758595287,0.7011411104597597,"[45, 94, 104, 95, 93, 92, 97, 96, 128, 218]"
weather,t-SNE × UMAP,0.9952095084166199,1.0016910204395773,0.9984502644280986,0.6674047708511353,"[33, 1, 8, 3, 4, 5, 0, 2, 14, 9]"
weather,t-SNE × Isomap,0.9456146716363756,1.004284724741894,0.9749496981891348,0.2574677381076621,"[285, 280, 248, 249, 260, 289, 286, 261, 275, 242]"
weather,t-SNE × MDS,0.9369605611812954,1.0041780739079285,0.970569317544612,0.2022747132477437,"[240, 41, 179, 31, 174, 173, 40, 163, 182, 170]"
